actual_layers,layers,neurons,optimizers,learning rate,accuracy
4,2,121,Adadelta,1,0.645161291
5,3,150,RMSprop,0.001,0.755760369
3,1,72,RMSprop,0.001,0.290322581
5,3,135,Adadelta,1,0.552995391
6,4,425,RMSprop,0.001,0.193548387
12,10,403,adam,0.001,0.202764976
7,5,163,Adagrad,0.01,0.917050691
12,10,1013,adam,0.001,0.377880182
4,2,209,adam,0.001,0.51152074
6,4,57,RMSprop,0.001,0
4,2,227,Adagrad,0.01,0.995391705
3,1,64,RMSprop,0.001,0.184331796
6,4,209,sgd,0.01,0.059907834
4,2,149,adam,0.001,0.216589862
6,4,325,sgd,0.01,0
6,4,405,RMSprop,0.001,0.175115207
5,3,108,Adagrad,0.01,0.792626729
11,9,168,Adagrad,0.01,0.649769588
7,5,163,Adadelta,1,0.838709679
10,8,753,Adadelta,1,0
12,10,813,sgd,0.01,0
12,10,543,Adagrad,0.01,0.668202766
4,2,61,sgd,0.01,0
6,4,377,RMSprop,0.001,0.055299539
10,8,369,Adadelta,1,0.013824885
11,9,384,Adadelta,1,0.695852538
8,6,573,Adadelta,1,0
10,8,225,sgd,0.01,0
12,10,943,adam,0.001,0.373271891
9,7,572,RMSprop,0.001,0.01843318
8,6,471,sgd,0.01,0
10,8,513,sgd,0.01,0
11,9,420,RMSprop,0.001,0.801843319
4,2,75,RMSprop,0.001,0.262672811
7,5,353,Adagrad,0.01,0.3689
10,8,361,adam,0.001,0.451612906
10,8,665,adam,0.001,0.580645164
4,2,65,adam,0.001,0.00921659
11,9,744,RMSprop,0.001,0.175115207
3,1,99,adam,0.001,0.447004606
10,8,145,Adadelta,1,0.529953916
9,7,194,Adagrad,0.01,0.649769583
6,4,337,adam,0.001,0.497695852
3,1,120,adam,0.001,0.359447005
8,6,609,Adagrad,0.01,0.663594473
8,6,627,Adagrad,0.01,0.967741933
9,7,418,sgd,0.01,0
7,5,198,sgd,0.01,0
3,1,111,adam,0.001,0.258064516
9,7,369,Adagrad,0.01,0.880184331
4,2,215,Adagrad,0.01,0.359447005
11,9,96,Adadelta,1,0.01843318
7,5,338,RMSprop,0.001,0
6,4,69,Adadelta,1,0.686635945
10,8,617,Adagrad,0.01,0.51612903
5,3,51,sgd,0.01,0.059907834
4,2,69,RMSprop,0.001,0
7,5,358,adam,0.001,0.405529954
3,1,87,adam,0.001,0.00921659
11,9,627,sgd,0.01,0
6,4,45,RMSprop,0.001,0.101382488
9,7,579,Adagrad,0.01,0.788018432
5,3,48,Adadelta,1,0.364055299
10,8,401,sgd,0.01,0
3,1,129,adam,0.001,0.161290323
12,10,173,Adagrad,0.01,0.640552996
9,7,551,adam,0.001,0.423963132
12,10,433,adam,0.001,0.299539169
4,2,115,sgd,0.01,0
7,5,253,Adagrad,0.01,0.958525343
8,6,333,Adagrad,0.01,0.672811058
10,8,409,RMSprop,0.001,0.188940093
5,3,231,Adadelta,1,0.972350228
5,3,273,sgd,0.01,0
12,10,653,sgd,0.01,0
3,1,99,sgd,0.01,0
5,3,333,Adagrad,0.01,0.940092168
7,5,503,adam,0.001,0.562211981
8,6,93,adam,0.001,0.00921659
11,9,321,sgd,0.01,0
10,8,809,adam,0.001,0.695852532
11,9,924,adam,0.001,0.52534562
9,7,222,adam,0.001,0.368663596
5,3,333,adam,0.001,0.709677418
7,5,288,adam,0.001,0.483870968
7,5,258,sgd,0.01,0
6,4,45,adam,0.001,0
4,2,205,adam,0.001,0.37327189
4,2,67,RMSprop,0.001,0.055299539
5,3,117,adam,0.001,0.460829493
6,4,129,adam,0.001,0.101382488
10,8,369,Adagrad,0.01,0.847926264
5,3,93,RMSprop,0.001,0.359447005
4,2,189,RMSprop,0.001,0.465437788
9,7,271,RMSprop,0.001,0.691244242
4,2,125,Adagrad,0.01,0.921658984
7,5,48,sgd,0.01,0.046082949
7,5,333,RMSprop,0.001,0.926267283
9,7,96,RMSprop,0.001,0
12,10,113,RMSprop,0.001,0.202764976
